Video_ID,Raw_Title,Clean_Title,Uploader,Lyric
QN1UbY3S_SM,Cuối Cùng Thì - Jack - J97 x Quanvrox「Lofi Ver.」/ Official Lyrics Video,Cuối Cùng Thì,Quanvrox Music,"1 Contributor
Cuối Cùng Thì Lyrics
Đời người con gái nay mới hai mươi
Sao em không cười? Hay do tuyết rơi?
Lòng buồn vì ai đau xót chưa vơi
Đôi môi không lời, yêu thương không rời
Năm ấy chúng ta từng hẹn ước bên nhau, em nhớ mà
Nơi chốn đấy hoa mộng một chút mênh mông nhưng xót xa
Thôi nhé chúng ta đành đành lướt qua nhau như phím đàn
Người ôm giấc mơ này, nhung nhớ bẽ bàng
Ngàn câu hứa chẳng được gì, cuối cùng thì mình phải chia ly
Anh cũng chỉ là vì tiếc thương mình thôi
Màn đêm phủ ánh đèn mờ, anh ngẩn ngơ phía xa ngóng chờ
Nói ra một lời trước khi em vội đi
Ah
Sao bay, em nhìn lên kìa sao bay (ay)
Anh đưa bàn tay, buông lời hay mà anh lại say (say)
Anh đi tìm em như loài hoa mà không còn cây (yah)
Thật ra em đâu ở đây hay là do mình không gặp may (ah)

Một đời bình yên nhưng tình duyên giờ đây cũng chẳng còn (whoo)
Ngọt ngào làm chi khi màu son rồi cũng sẽ héo mòn
Ở lại bên anh nếu thời gian này trôi quá nhanh
Nước mắt có thể giấu, còn kỷ niệm thì để mình dành
Một đóa hoa nhài, cài tóc em dài
Mai ấy theo chồng mà trong tim em còn lo xa đúng không?
Đừng khóc em à, mạnh mẽ lên mà
Thà là ta xa nhau, chớ yêu nhau dài lâu
Ngàn câu hứa chẳng được gì, cuối cùng thì mình phải chia ly
Anh cũng chỉ là vì tiếc thương mình thôi
Màn đêm phủ ánh đèn mờ, anh ngẩn ngơ phía xa ngóng chờ
Nói ra một lời trước khi em vội đi
Mây khẽ nhẹ bay
Hoa cũng tàn, người cũng tan, tình dở dang
Tay trắng bàn tay
Ngày mà em mang giấc mơ sang giàu
Ngàn câu hứa chẳng được gì, cuối cùng thì mình phải chia ly
Anh cũng chỉ là vì tiếc thương mình thôi
Màn đêm phủ ánh đèn mờ, anh ngẩn ngơ phía xa ngóng chờ
Nói ra một lời trước khi em vội đi"
L8X7HpznyBU,"Lớn Rồi Còn Khóc Nhè - Team Diệu Nhi, Lynk Lee, Hương Ly, Thái Trinh, Huyền Baby | Công Diễn 2",Lớn Rồi Còn Khóc Nhè,YEAH1 MUSIC,"2 Contributors
Lớn Rồi Còn Khóc Nhè Lyrics
Ngày thơ bé có cánh đồng, trưa nắng bên bờ sông
Thời tôi chưa biết vâng lời, chỉ biết chơi và cười
Lời mẹ nói không nghe cho rằng luôn khắt khe
Mẹ nói ""Con trai đừng khóc nhè!""
Ngu ngơ chạy theo đám bạn tôi đàn ca
Ấy thế mà khiếu văn nghệ nhất nhà
Bạn bè cố bao che câu nào cũng dễ nghe
Nó nói hay hơn lời của mẹ
Tôi ôm đàn và hát
Đi xa cùng bè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về
Tôi ôm đàn và hát
Đi xa cùng bè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về

Rồi tôi xơ xác đi nhiều khi mới quen người yêu
Thời tôi mới biết đi làm, em cứ hay càm ràm
Người yêu nói tôi nghe tuy lời hơi khó nghe
Em nói hay hơn lời của mẹ
Thấm thoát lại thấy tôi chẳng thiếu điều chi
Lắm lúc lại thấy tôi chẳng có gì
Phải chăng lớn khôn hơn hay càng ngu ngốc hơn?
Tôi muốn nghe thêm lời của mẹ
Tôi ôm đàn và hát
Đi xa cùng bè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về
Tôi ôm đàn và hát
Đi xa cùng nè bạn
Ước mơ con là vòng quanh thế gian
Tôi vô tình là thế
Hay quên gọi về mẹ
Ước mơ của mẹ là thấy con về

Giờ tôi nhớ những cánh đồng, trưa nắng bên bờ sông
Giờ tôi mới biết vâng lời, thương lắm khi mẹ cười
Giờ tôi muốn lắng nghe, cho dù lời khắt khe
Không biết bao lâu còn có mẹ
Ngày thơ bé ngu ngơ ai chẳng hay khóc nhè
Nay lớn cớ sao lại khóc nhè"
43XdrvzmSj0,"IT'S GON' BE ALRIGHT - Negav ft. Văn Mai Hương | Anh Trai ""Say Hi"" 2025 [Performance]",Its Gon Be Alright,Vie Channel - MUSIC,"4 Contributors
IT’S GON’ BE ALRIGHT Lyrics
(
Are you okay though?
)
Yah
Anh đã nghĩ đôi chân chỉ đang băng qua cơn giông
Bình yên sẽ đến sớm thôi nhưng không
Có lẽ là ông trời muốn anh phải học bằng hết tất cả bài học
Và anh không biết liệu mình có thể nào quay trở lại
Ám ảnh với cái cảnh vò đầu, đặt kính xuống bàn, buông tiếng thở dài
I'm crying every night
Anh đã làm quá nhiều điều sai
Từng bỏ ngoài tai là những lời cảnh báo, giờ phải công nhận, ""Yeah, you're right""
Anh chỉ muốn nhìn thấy họ cười sau một ngày dài, trong một ngày anh đăng đầy bài
Nhưng đâu thể nào tưởng tượng đến ngày vết mực đó tô đen luôn cả tương lai
Và anh không còn thấy được ánh hào quang
Chỉ còn thấy được bao mũi giáo đang hướng thẳng vào thằng An
Chưa một đêm nào được ngon giấc, không thể đếm những thứ đã mất
Chỉ vì thằng nhóc những năm ấy mà bao hoài bão anh phải mang đi vứt
Xin lỗi những ai đã yêu và cả ghét
Chịu lời cay đắng thay vì lời khen, làm tất cả trong cảnh lầm than
Con xin lỗi vì không trở về, có quá nhiều điều để kể
Nhưng chỉ mong ba mẹ đừng lo, everything's gon' be alright

Negav
]
Dẫu biết quá khứ sẽ chẳng thể đổi thay
Thời gian đã cố lấp đi những gì sót lại
Từng dòng suy nghĩ vẫn đang giằng xé con tim từng ngày
Ừ thì tự mình phải làm quen với những thứ vẫn chưa phai
Gói hết năm tháng đã từng lỡ dại
Bước chân đi tiếp quãng đường dài (
Okay
)
It's gon' be alright
Anh không muốn hát, bao nhiêu lời cần viết
Cho anh thêm vài verse để anh được rap thì may ra đủ tình tiết
Thu mình trong căn phòng cùng những nghiệt ngã mà chỉ bản thân mình biết
Thèm mà chảy nước miếng khi liếc nhìn qua bên khung cửa sổ là những người anh em mình đang trình diễn
Anh có khát vọng nhưng không ngờ một ngày giấc mơ được trên đỉnh cao lại trở thành ác mộng
Anh đã có thật nhiều trong tay nhưng sao trong lòng thì luôn trống rỗng?
Anh không cho đó là bất công
Dù đã trả cái giá quá đắt và cuộc đời chỉ gửi lại anh số ""không""
Anh phải quay về điểm xuất phát, tập hát ở trong phòng tắm
Không thể nhìn ra người trong gương sau bao nhiêu ngày nó phải gồng gánh
Đọc hết tất cả lời ngọt ngào mà sao trên môi anh toàn vị mặn?
Anh đã nghĩ rằng sẽ không còn được nghe những tiếng họ hát đồng thanh
""Yeah, I guess we 'boutta bounce! All the gang, we hit the stage""
Cũng đến ngày mà chỉ có thể nhìn thấy thằng An trên internet
Làm sao còn có thể cười khi thấy bài đăng chỉ có một chữ ""Rest""
Anh tự hỏi, ""Tại sao là anh chứ không phải là một người nào khác""?
Dày vò nhiều rồi cũng đã thôi
Anh chợt nghĩ bản thân chẳng còn gì ngoài tấm thân này thật tả tơi
Nước mắt cũng đã rơi, bao nhiêu những lời xin lỗi
Anh không biết làm gì hơn để một lần nữa được hát cho đời
Người rời đi thì nhiều, chẳng còn thấy một người nào tới
Anh chỉ biết cố gắng thật nhiều để cho họ thấy một con người mới
Gom hành trang là bao lỗi lầm và những bài học để mà ra khơi
Từng vấp ngã trước tràng vỗ tay thì anh cũng có thể mà đứng dậy giữa những tiếng cười của bao con người

Negav
]
Dẫu biết quá khứ sẽ chẳng thể đổi thay
Thời gian đã cố lấp đi những gì sót lại
Từng dòng suy nghĩ vẫn đang giằng xé con tim từng ngày (
Let's go
)
Ừ thì tự mình phải làm quen với những thứ vẫn chưa phai
Gói hết năm tháng đã từng lỡ dại
Bước chân đi tiếp quãng đường dài
It's gon' be alright
Everything's gon' be alright
Everything's gon' be okay
Anh sẽ luôn hướng về ngày mai
Viết một trang mới cho tương lai
Everything's gon' be alright
Everything's gon' be okay
Anh sẽ luôn hướng về ngày mai
Viết một trang mới cho tương lai
Everything's gon' be alright
Everything's gon' be okay
Anh sẽ luôn hướng về ngày mai
Viết một trang mới cho tương lai
Everything's gon' be alright
Everything's gon' be okay
Viết một trang mới cho tương lai

Dẫu biết quá khứ sẽ chẳng thể đổi thay
Thời gian cũng đã cố lấp đi những gì sót lại
Cảm ơn nhóc đã từng lỡ dại
Anh sẽ cố hết mình để bù đắp cho những đôi bàn chân nào còn ở lại
Và vẽ nên nụ cười cho những ai đã không còn ở lại đây
Cảm ơn vì đã để lại một bài học là
Sẽ không có yêu thương nào dành cho kẻ không biết cố gắng đổi thay"
xTdg-SRZCQo,Khúc Ca Vàng - Mikelodic - Team Thái VG | Rap Việt 2023 [MV Lyrics],Khúc Ca Vàng,Vie Channel - MUSIC,
XSO42WZfdN8,Lyric Video | đứa nào làm em buồn? - Phúc Du ft. Hoàng Dũng,đứa nào làm em buồn?,PHÚC DU,"2 Contributors
đứa nào làm em buồn? Lyrics
Anh biết tay em còn bắt máy, tai em còn muốn nghe, đôi ta còn hi vọng
Ném anh trăm lời quát mắng, vứt một lời chia tay, đừng tặng anh im lặng
Không giỏi nhìn người yêu anh buồn, anh chỉ giỏi làm người yêu anh buồn thôi
Bằng những lời anh cắn chặt, mà môi hôn đắm nhất chẳng thể làm buột môi
Mỗi khi em hỏi mai sau của chúng ta, xin lỗi, anh luôn lờ đi thật vô tình
Cứ coi nó như làn mi, treo ngay trước mắt nhưng vô hình
Dù anh biết hạnh phúc của em muốn là hàng ngày tan ca ở nhà chờ đón anh
Nhưng hạnh phúc của anh là thấy em hạnh phúc, dù lúc đó là em chẳng có anh
Xin em đừng nghĩ là anh không yêu em, khi anh chẳng hứa tương lai mình tới đâu
Thương em thì anh mới làm vậy, bởi lời hứa và dối trá nó có họ với nhau
Và em ơi dù ở trong tình yêu, anh không phải là kẻ tử tế nhất
Nhưng anh chẳng đủ tệ để lấy cả thanh xuân của em mà không có thế chấp
Em đang có đủ tất cả để thành hôn, trừ một gã người yêu đủ gọi là thành đạt
Lỡ em anh lỡ cả kho báu, lỡ anh em chỉ lỡ một canh bạc
Nên anh chẳng hiểu nổi được lí do, còn ở đây sau bao ngày dài hao
Chắc chắn là em còn yêu anh nhưng thứ anh không chắc duy nhất là tại sao?
Đứa nào làm em buồn thế?
Nó yêu em nhưng nó tệ
Không một lời nào hẹn hứa sau này sẽ đến đâu
Không một nửa câu chắc chắn cho nhau
Đứa mà làm em buồn ấy
Sao mà em thích nó đến vậy?
Sao toàn làm em rơi nước mắt
Vậy mà em vẫn còn ở đây?

Anh đâu muốn lạc mất em, chỉ vì lạc quan là thứ chưa thể giỏi
Nhưng anh sợ tình ta như tay đua, về sau chẳng có gì ngoài mệt mỏi
Không dám đưa em về nơi anh sống, vì ở đó chôn cất phiền ưu riêng
Anh sợ thăm nhà anh một lát, em biết mình sẽ mãi chẳng đứng đầu ưu tiên
Em sẽ biết anh cất đâu lời hứa (lời hứa), mà bước vào tình chẳng đem nổi nửa câu (Nửa câu)
Dăm ba cái ""sau này con lớn"" với ""sau này cháu lớn"", nên anh còn nữa đâu (Uh-huh)
Chứ ai muốn làm người yêu mình buồn (ai), anh cũng muốn hứa em một ngày mai sáng (Anh muốn)
Ta yêu gấp mấy lần người thường (gấp mấy), không biết cưới bao nhiêu đám thì mới đáng (Bao nhiêu)
Nhưng sao dám khi mai này thế nào, đâu biết được dù mình có biếng chăm
Chim gõ kiến có thể đói vỡ mồm kể cả nó chỉ có cắm mặt vào kiếm ăn (Kiếm ăn)
Thật quá đáng nếu anh bắt em thông cảm vì giông bão chắc chắn sẽ tới sau (Tới sau)
Cùng anh nếu được thì ăn cả, còn ngã về nhà mình ăn ngủ với nhau
Nên em nói, ""Không"", anh cũng sẽ hiểu, rõ ràng đặt cược vào anh là quá liều
Vì kẻ như anh mà một người buồn thôi, thực sự con số đấy đã là quá nhiều
Người như em xứng được che bởi bóng râm, thay vì tăm tối của một bầu trời đen
Anh không muốn tất cả ưu phiền em có chỉ đến từ một nửa của đời em
Đứa nào làm em buồn thế?
Nó yêu em nhưng nó tệ
Không một lời nào hẹn hứa sau này sẽ đến đâu
Không một nửa câu chắc chắn cho nhau
Đứa mà làm em buồn ấy
Sao mà em thích nó đến vậy?
Sao toàn làm em rơi nước mắt
Vậy mà em vẫn còn ở đây?

Sao em không thể xa anh mau
Tương lai anh không chắc như bờ vai anh đâu
Buông anh đi thì sao nào
Buông anh đi thì sao nào (Buông anh đi, buông anh đi)
Sao em không thể xa anh mau
Tương lai anh không chắc như bờ vai anh đâu
Buông anh đi thì sao nào
Buông anh đi (Buông anh đi, buông anh đi)"
v-q1zFZR-wY,WREN EVANS - Tình Yêu Vĩ Mô | LOI CHOI The First Album (ft. itsnk),Tình Yêu Vĩ Mô,Wren Evans Official,"4 Contributors
Tình Yêu Vĩ Mô Lyrics
Đã khuya rồi mà sao anh vẫn còn nhớ em?
Đã khuya rồi, có ông trăng ngồi với anh
Đã khuya rồi mà sao anh vẫn còn nhớ em?
Tình yêu trao cho em, cho em luôn luôn là vĩ mô
Giờ đây, chẳng có nổi nước mắt trong anh để rơi
Mình đã xa nhau vào cuối thu, em lặng đi (Hmm, hah)
Thật ra còn sót lại một thoáng đôi ta ở đây
Lời nói khi xưa còn vấn vương, anh đậm sâu
Người chọn quên hết bao lần hứa, bao lần mất xong bù đắp cho một cuộc tình
Mà em chưa một lần thay đổi (Oh)
Sao anh cứ đâm vào rồi ôm đắng cay, em à
Vậy thì tình yêu anh cho đi để làm gì?
Nếu người nhận được chẳng thèm dùng mà còn cất đi
Có ông trăng luôn hỏi thăm, vỗ về anh
Anh đã đánh mất những ước ao đã vỡ tan
Không ôm đàn, đổi lại thời gian ở bên em
Dù chỉ là tình xưa mình anh luôn nhớ một tình yêu vĩ mô
Đã khuya rồi mà sao anh vẫn còn nhớ em?
Đã khuya rồi, có ông trăng ngồi với anh
Đ-đ-đ-đã khuya rồi mà sao anh vẫn còn nhớ em?
Tình yêu trao cho em, cho em luôn luôn là vĩ mô

Ba-da-hm-ba-hm-ba-dam
Ba-da-hm-ba-da-di-da"
epBL9Mbq_sU,"TINLE, ​⁠APJ - 12H03 (Official MV)","TINLE, ​⁠APJ - 12H03",SpaceSpeakers Label,
MuZaxNPHR-0,CON KỂ BA NGHE - NGUYỄN HẢI PHONG (OFFICIAL MUSIC VIDEO),Con Kể Ba Nghe,NHP Entertainment,"3 Contributors
Con kể Ba nghe Lyrics
Ba à, thằng con trai ba giờ cằn cõi khô khốc qua nhiều khổ nan
Khi đôi mắt con nhìn được thấy và thân được nếm độc của hổ mang
Sống trong cái vòng tròn bé tí, xung quanh nhiều quỷ còn hơn là bạn
Con vẫn không hiểu tại sao ngày xưa khó vậy mà ba không thở than
Con gặp được người phụ nữ sẵn sàng yêu con dù lắm tài nhiều tật
Vẫn giữ thói quen ba dạy nếu trên đời ngột ngạt thì tâm niệm phật
Con chỉ mới 22 tuổi mà tuổi còn không nhiều như tâm sự con mang
Hay đây là cái giá phải trả vì con bước ra đời khi còn sớm chán
18 tuổi con vang danh, nhiều người bảo là con may mắn
Trong khi vẫn còn đầy người như con, nhưng họ không vượt qua được cay đắng
Con ngẩng đầu được lúc này chắc là phước phần của gia đình tặng
Mặc dù thứ con đạt được bị người ta cướp hết rồi thành tay trắng
Con giấu đâu cho ba biết, vì con sợ ba biết ba lo
Dưới quê trăm công nghìn việc đè trên vai ba mà toàn việc khó
Ba nào con nấy ba ơi, không gồng được như ba nên con viết
Biển đời này bắt con bơi để được như ba thì con cũng không tiếc
Sức trẻ nên con xa quê, cô đơn nơi chốn hoa lệ
Nơi mà nếu không thành công thì dù tốt đến mấy cũng như thằng hề
Con phải thoát ra khỏi hẻm, nơi máu còn tanh bên lề
Nơi mà tụi nó không ngại việc chém thằng khác từ lành đến phế
Con hay đi ngủ lúc 5h sáng, dậy lúc 3h chiều
Có khi giữa đêm giật mình vì gặp ác mộng do nghĩ ngợi nhiều
Ốm do ăn không ngon, chìm trong cảm xúc và phiêu
Nhưng tâm lý con không yếu, chỉ là con mệt vì quá nhiều điều
Đang diễn ra xoay xung quanh con với nhiều mặt nạ
Thức tỉnh thêm nhiều con mắt để con nhìn cho rõ ai đang thật dạ
Con ít nói đi dần dần đến mức người đời nghĩ tâm con ma
Con cũng tách biệt hết mức để dò lũ ác để con triệt hạ
Nhưng ba ơi cũng nhiều thứ tốt mà con nhận ra
Con có một người phụ nữ sẵn sàng ở bên khi con gục ngã
Con băng qua nhiều cảnh đời càng đi càng học từ mỗi lần qua
Con bỏ được nhiều thói xấu cho dù đứng trước nhiều lời nhục mạ
Và nhờ ơn gia đình nhà nội mà giờ con không vung dao chém người ta
Con thoát khỏi được vòng lặp mà mấy thằng anh của con trượt ngã
Con thoát khỏi kiếp lưu manh, thoát khỏi cái cảnh gặp gì cũng phá
Thoát khỏi những việc tù tội, thoát khỏi luôn cảnh không còn nhà
Và con nghĩ con cũng đủ sức để giống như ba, để con ráng
Thằng con trai ba không sợ gì nếu mà không sai đâu, ba đừng lo
Châu Long 5 con vẫn không quên, dòng họ Lý con đến từ đó
Chứng kiến được nhiều cảnh từ nhỏ, chiêm nghiệm thêm và vẫn tiếp tục dò, chân con vẫn đi mặc kệ sương gió"
t0JN87jAPjw,Yếu Đuối - Nguyễn Hoàng Dũng (MV) - Tao Không Xa Mày (OST),Yếu Đuối,Zing MP3,"1 Contributor
Yếu Đuối Lyrics
Yêu và xa và quên tựa những xa xôi ngày ấy
Kỉ niệm nơi đây thấy buồn biết mấy
Rồi mai tỉnh giấc liệu anh còn cất em trong tiềm thức?
Còn bật khóc vì những ngày như mơ giờ tan vỡ
Vì đã có lúc trái tim em từng yếu đuối
Tự cho phép mình không phải quên
Tự xem như mình vẫn gần bên
Và nếu lúc ấy thấy anh vẫn còn nơi đây
Em sẽ đến và ôm chặt anh
Để thương nhớ chìm trong màn đêm không màu
Yêu và xa và quên tựa những xa xôi ngày ấy
Kỉ niệm nơi đây thấy buồn biết mấy
Rồi mai tỉnh giấc liệu anh còn cất em trong tiềm thức?
Còn bật khóc vì những ngày như mơ giờ tan vỡ
Vì đã có lúc trái tim em từng yếu đuối
Tự cho phép mình không phải quên
Tự xem như mình vẫn gần bên
Và nếu lúc ấy thấy anh vẫn còn nơi đây
Em sẽ đến và ôm chặt anh
Để thương nhớ chìm trong màn đêm không màu
Để thương nhớ chìm trong màn đêm không màu"
HG-8nzEdVns,HURRYKNG - Window Shopper (Official MV),Window Shopper,GERDNANG,"68 người đóng góp
Bản dịch
người Bồ Đào Nha
Tiếng Anh
tiếng Ý
Русский (tiếng Nga)
Cửa Sổ Người Mua Sắm Lyrics
Ngoài nhạc nền của Get Rich Or Die Tryin' (đừng nhầm với sản phẩm ra mắt của hãng lớn cùng tên), 50 đưa ra một báo cáo khác về chiến lợi phẩm của thành công và sự chú ý tiêu cực mà nó gây ra từ… 
Đọc thêm
 
Ôi!
Phần trên cảm thấy tốt hơn nhiều so với phần dưới
Tốt hơn nhiều
Nigga, bạn là người mua sắm qua cửa sổ
Giận tôi, tôi nghĩ tôi biết tại sao
Nigga, bạn là người mua sắm qua cửa sổ
Trong cửa hàng trang sức nhìn vào những thứ bạn không thể mua được
Nigga, bạn là người mua sắm qua cửa sổ
Vào đại lý thử lái thử xem
Nigga, bạn là người mua sắm qua cửa sổ
Điên cuồng khi thấy tôi đi ngang qua
Mùa hè, 
Porsche Carrera màu trắng sữa
Tôi đang bận rộn, hãy để giấy của tôi xếp chồng lên nhau nhưng tôi bẩn thỉu
Thật buồn cười khi bọn mọi đen lại đối mặt với tôi
Dù sao thì họ cũng không có tâm trí để tấn công tôi
Tôi sẽ xuống, Southside là nơi tôi đến
Vì thế tôi sẽ không đi xuyên qua ai mà không có súng
Họ biết đứa trẻ sẽ không tham gia vào tất cả những điều nhảm nhí đó
Hãy thử và gắn bó với tôi, tôi sẽ tung ra một clip đầy đủ
Đó không phải là lỗi của tôi, bạn đã không làm hỏng việc re-up của mình
Trong trò chơi xúc xắc, ai bảo bạn đưa điểm G lên?
Mọi người đều tức giận khi giấy của họ không xếp chồng lên nhau
Nhưng khi tôi đến xung quanh thì các bạn tốt nhất nên hành động đúng đắn
Khi chúng tôi lên tới đỉnh, xuống, bạn có thể nghe thấy tiếng hệ thống đập mạnh
Nigga, khi chúng ta lăn lộn, lăn lộn, lăn lộn
Đóng khối của bạn lại, xuống, nhanh chóng tạo một lỗ trên một khối
Nigga, khi chúng ta lăn lộn, lăn lộn, lăn lộn

Nigga, bạn là người mua sắm qua cửa sổ
Giận tôi, tôi nghĩ tôi biết tại sao
Nigga, bạn là người mua sắm qua cửa sổ
Trong cửa hàng trang sức nhìn vào những thứ bạn không thể mua được
Nigga, bạn là người mua sắm qua cửa sổ
Vào đại lý thử lái thử xem
Nigga, bạn là người mua sắm qua cửa sổ
Điên cuồng khi thấy tôi đi ngang qua
Niggas yêu tôi ở L.A. ngay khi tôi bước vào
Họ đến đón tôi ở LAX và tôi nhảy vào
Bây giờ khi nói đến những con điếm xấu xa bạn biết tôi đã hiểu chúng
Một số từ Long Beach, một số từ Watts, một số từ Compton
Bạn biết đấy một gã da đen muốn xem các cô gái Cali nổi loạn như thế nào
Sau chuyến bay năm giờ từ New York
Tôi bắt đầu nhổ G vào một con khốn như ma cô, bờm
Nói với cô ấy, ""Gặp tôi ở Mondrian để chúng ta có thể làm việc chung.""
Tôi cho rằng cô ấy có thể mang đồ lót đến cho mình
Sau đó chúng ta có thể chuyển từ mặc quần áo đầy đủ sang không mặc quần áo
Sau đó cô ấy có thể chạy đi và nói với người bạn thân nhất của mình về trò chơi tình dục của tôi
Vậy thì người bạn thân nhất của cô ấy có thể là người tiếp theo, Mane
Nghe này, chết tiệt, đã thay đổi, tôi đã đến, tôi đang làm việc của mình
Homie, tôi đang ôm, đang ôm, đang ôm
Ôi chết tiệt, chủ cửa hàng đang theo dõi bạn
'Fore something' bị đánh cắp, bị đánh cắp, bị đánh cắp

Nigga, bạn là người mua sắm qua cửa sổ
Giận tôi, tôi nghĩ tôi biết tại sao
Nigga, bạn là người mua sắm qua cửa sổ
Trong cửa hàng trang sức nhìn vào những thứ bạn không thể mua được
Nigga, bạn là người mua sắm qua cửa sổ
Vào đại lý thử lái thử xem
Nigga, bạn là người mua sắm qua cửa sổ
Điên cuồng khi thấy tôi đi ngang qua"
