Video_ID,Raw_Title,Clean_Title,Uploader
P0EbNJPbJmA,Tình ca (Hoàng Việt) - Vũ Thắng Lợi,Tình ca,Vũ Thắng Lợi Official (Phúc Hưng)
UXmHKtRIeJQ,Cho Dù Có Đi Nơi Đâu - Anh Thơ,Cho Dù Có ĐiNơi Đâu,Anh Thơ Official
Nw1fuUN8IEY,05. BINZ - RƯỢU ĐỘC (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,RƯỢU ĐỘC,Binz Da Poet
ssPrptEhedg,VÀ EM ĐÃ YÊU - Hồ Ngọc Hà,Em Đã Yêu,Thuy Truc
iPnY0gyCSds,Nhớ Gia Đình - Lê Bảo Bình | Official Lyrics Video,Nhớ Gia Đình,Bảo Bình Media
TJjvqQBqG2o,"Da LAB, Emcee L (Da LAB) - Nghe Mưa (Official Audio) ft. KraziNoyze",Nghe Mưa,Da LAB Official
RT1yp-lGjzU,MUỘN RỒI | Bản tình ca day dứt và khắc khoải | SING & SONG A.I,Bản tình ca day dứt và khắc khoái,SING SONG MELODY
93WxvO4kAhw,Lệ Quyên - Tình Yêu Trả Lại Trăng Sao,Tình Yêu Trả Lại Trăng Sao,Lệ Quyên
NuHQj0IgueA,"SOOBIN, Binz - BLACKJACK (Official Audio)",BLACKJACK,SOOBIN Official
eJ1rHCYqBuo,SẦU LẺ BÓNG - DƯƠNG HỒNG LOAN | Bolero Trữ Tình Đặc Biệt 2019,SẦU LẺ BÓNG - Dương Hồng Loan,Góc Trữ Tình
PcYh6VdIj04,MÙA GIÓ THỔI TRÊN MÁI NHÀ - DTAP x MỸ TÂM | OFFICIAL VISUALIZER,DTAP x MỸ TÂM | OFFICIAL VISUALIZER,DTAP OFFICIAL
DXSkTPcATTk,ĐÃ ĐẾN LÚC - Tân Binh Thăng Cấp | Tiết mục mở màn | Tân Binh Toàn Năng 2025,ĐÃ ĐẾN LÚC,YEAH1 MUSIC
tJ3MebWVJ7E,Ước Nguyện - Kha (Official MV),Ước Nguyện,Kha
gMp6iXFLeSM,Đừng Lo Cô Ấy Ổn - Đàm Vĩnh Hưng x Đông Thiên Đức | Official Music Video,Đừng Lo Cô Ấy Ổn,Đàm Vĩnh Hưng
Ion5DazeiPE,Đom Đóm - Jack - J97 x Quanvrox「Lofi Ver.」/ Official Lyrics Video,Đom Đóm,Quanvrox Music
EX7wxqchvcQ,Huyền Thoại Một Chiều Mưa - Tùng Anh ft Quỳnh Như (MV Official),Huyền Thoại Một Chiều Mưa,Tùng Anh Bolero
6zaeJ-SvTCs,"♬ Mây (Mix Cực Chill) - Jank, Sỹ Tây x CaoTri | Lofi Lyỷics / Hết hạ tàn xuân thu sang",Mây,CaoTri Official 
g3LyaI6ZW4s,Album Xưa | Cưỡi Ngựa Về Trời - Masew x Tuấn Cry,Cưỡi Ngựa Về Trời,Masew
FxFKyVajKX8,ĐIỀU PHI THƯỜNG NHỎ BÉ - DTAP x HỒNG NHUNG x ĐEN | OFFICIAL VISUALIZER,ĐIỀU PHI THƯỜNG NHỎ BÉ,DTAP OFFICIAL
4VKoHGN9FzU,Ngọt - Khắp Xung Quanh,Khắp Xung Quanh,Ngọt
uDLwJ0GXYG0,"♬ Mưa Tháng Sáu - Văn Mai Hương, Grey D, Trung Quân x CaoTri | Lofi Lyrics",Mưa Tháng Sáu,CaoTri Official 
4GAsPXeWFDc,"PHÁO khẳng định mình là LEADER, bùng nổ cùng VŨ CÁT TƯỜNG và chú báo khổng lồ | KING OF RAP Tập 13","PHÁO khẳng định mình là LEADER, bùng nổ cùng VŨ CÁT TƯỜNG và chú báo khổng lồ",VIVA Entertainment
rmO_--75IJI,ĐÈN ÂM HỒN | OST MV EM MONG ANH VỀ NHÀ | DỰ KIẾN KHỞI CHIẾU 07.02.2025,ĐÈN ÂM HỒN | OST MV EM MONG ANH VỀ NHÀ | DỰ KIẾN KHỞI CHIẾU 07.02.2025,CGV Cinemas Vietnam
gu63LKcVIUE,traitimtrongvang - Em Là Điểm Yếu Của Anh (Official M/V),Em Là Điểm Yếu Của Anh,1989s Entertainment
4u14aZgQBtA,SẦU ĐÂU QUÊ NGOẠI - CẨM LY | Sáng tác: Cao Nhật Minh | TỰ TÌNH QUÊ HƯƠNG 3 (2012),SẦU ĐÂU QUÊ NGOẠI,CẨM LY OFFICIAL
_JIYj_UnaDs,"$A Milo, Obito, B-Wine, Gxxfy - 'BUSINESS MODE' (Official M/V)",BUSINESS MODE,SA MILO OFFICIAL
Ag_IrSIjaUQ,Thấy Là Yêu Thương - OnlyC (MV),Thấy Là Yêu Thương - OnlyC (MV),Zing MP3
gefIjNaXJ8U,Ngày Tuyệt Vời Nhất,Ngày Tuyệt Vời Nhất,Rhymastic Official
Pxw3GT9EMhs,Khi người ĐÀN ÔNG KHÓC -hãy khóc đi đừng ngại ngùng | Meta Rock Version,Khi người ĐÀN ÔNG KHÓC,MỆT TA DỐC
8pwssm5BdQc,Mưa Phi Trường,Mưa Phi Trường,Lam Truong's Official Channel
y6QYrpjzBAg,BIỂN TÌNH - HƯƠNG LAN | Đời anh sẽ đẹp vì có em...,Hương Lan,Huong Lan Music
-fPe0mlQSjo,🌙 SAU NÀY CỦA CHÚNG TA - Lê Hiếu trở lại với ca khúc đầy tình cảm của Hà Anh,SAU NÀY CỦA CHÚNG TA,The Bros Entertainment
DO9Wsm8BfdQ,[LYRICS VIDEO] DO EM QUÁ TỆ || ISAAC ft LOU HOÀNG,Do Em Quá Tệ,Isaac Official
BsbvdMkIg4I,FENNI PHAN NGÂN - BUỘC TÌNH LÊN TIM FT.NGUYỄN HỮU KHA (OFFICIAL MUSIC VIDEO),Buộc Tình Lên Tim,FENNI PHAN NGÂN
RKZ9jQlJ3es,"GỌI ANH - PHẠM KHÁNH HƯNG, ĐỖ HOÀNG HIỆP | CÔNG DIỄN 4 - ANH TRAI VƯỢT NGÀN CHÔNG GAI 2024","GỌI ANH - PHẠM KHÁNH HƯNG, ĐỖ HOÀNG HIỆP | CÔNG DIỄN 4 - ANH TRAI VƯỢT NGÀN CHÔNG GAI 2024",YEAH1 MUSIC
fWYTKERhpDs,Người đến sau,Người đến sau,CẨM LY OFFICIAL
NgFX5wxjGUo,Cá Hồi Hoang - Chợt Muốn Nghe,Chợt Muốn Nghe,Cá Hồi Hoang
QcTZvEPfQc8,DẤU CHÔN TÌNH BUỒN - CẨM LY | Sáng tác: Quốc Vượng (Phát hành 2000),,CẨM LY OFFICIAL
Q8qRrO06iqA,NIỀM TIN CHIẾN THẮNG | MỸ TÂM - LỄ HỘI CÀ PHÊ BUÔN MÊ THUỘT | LỄ HỘI CÀ PHÊ VIỆT,Niềm Tin Chiến Thắng,Coffee Festival
1UH1-uDAwVY,TIÊN COOKIE - Câu chuyện về người lạ,Câu chuyện về người lạ,1989s Entertainment
1cmACkVVPMA,"GHEN - TEAM TÓC TIÊN | THẾ VĨ, HOÀNG LONG, VĂN TÂM, ĐÔNG QUAN, THÀNH ĐẠT, MINH QUÂN, ĐỨC DUY",,YEAH1 MUSIC
2xUjseHWLlQ,"ĐI VỀ NHÀ - CHÂU TUYẾT VÂN, NGỌC ÁNH, PHƯƠNG THANH, THÚY HIỀN, ÁI PHƯƠNG | Công Diễn 3",ĐI VỀ NHÀ,YEAH1 MUSIC
khq1JaXvMSw,Bông Mua Tím - Khang Lê | Nhạc Trữ Tình Bolero Nghe Buồn Tê Tái | Officia MV,Bông Mua Tím,Khang Lê Bolero
