Video_ID,Raw_Title,Clean_Title,Uploader,Lyric
Blk1GXDM7gA,Tiếng Chày Trên Sóc Bom Bo | HKT | Official MV,Tiếng Chày Trên Sóc Bom Bo,POPS MUSIC,
CsCgX0Cm44g,2323 - NGHIÊM TỔNG prod. MAI CẢNH DỊ & ĐẠI TRƯỢNG FU,NGHIÊM TỔNG,MCK // Nger,"1 người đóng góp
Lời bài hát Đêm nay
Tôi không thể ngồi và che giấu cảm giác của mình tối nay
Vì tôi không biết
Nếu cảm thấy sống động vì vậy tôi chỉ muốn biết
Nếu chúng ta có thể thử
Để tận hưởng đêm nay tôi thấy bạn đọc những câu trích dẫn
Nếu em tệ như vậy thì em phải ném chiếc điện thoại đó đi
Đợi đã, tôi biết đã cuối hè rồi
Ôi trời, cảm giác đó thật tuyệt vời, hãy ném nó trở lại như Motorola
Nhìn này, tôi chỉ già đi thôi, tôi không ngồi phía sau một mình đâu
Bạn xứng đáng được ngẩng cao đầu nhưng bạn ở phía sau một mình
Ngồi phía sau không phải là cách tôi thích đi
Anh biết khi anh thấy em ngồi một mình ở quầy
Tôi không thích nói nhiều
Nhìn xem đó chỉ là điểm mấu chốt
Cô gái à, nếu em có điều đó thì hãy quay lại và tận hưởng buổi tối nhé
Nếu thành thật mà nói thì tôi thường không phải loại người này
Nhưng tôi cảm thấy bạn không cần phải cam kết dù chỉ một chút thời gian thôi
Tôi sẽ không nói dối thời gian của tôi rất quan trọng
Điều đó không có nghĩa là tôi sẽ không ở lại lâu hơn một chút
Hãy đến, đi thôi, chúng ta sẽ đi
Hãy nhảy múa và biến mất

Tôi không thích nói nhiều
Nếu tôi thành thật mà nói thì tôi
Ẩn ở phía sau nhưng đêm nay
Tôi không phiền nếu chúng ta trò chuyện
Và khiêu vũ tối nay cho đến khi quán bar đóng cửa
Lần cuối cùng vẫn cúp máy, cô ấy gửi tin nhắn và nói tôi nhớ bạn
Tôi không có thời gian để đánh trả cô ấy vì tôi không nhớ cô ấy
Tôi không đủ kiên nhẫn để cho bạn biết danh sách này dài bao nhiêu
Tôi không giải trí tất cả những câu hỏi này như Người ban tặng
Anh không ngồi đây chỉ để cố gắng đưa em lên giường anh tối nay
Anh chỉ muốn khiêu vũ với em và nhìn thấy em trong ánh sáng tốt đẹp hơn
Tôi không vứt bỏ cảm xúc, tôi có thể bắt gặp bạn vào thời điểm tốt hơn
Nhưng tôi có rất nhiều tình yêu nếu bạn muốn thì hãy lấy của tôi
Tôi không quan tâm đến các cặp đôi trên dòng thời gian của mình
Điều đó tốt cho họ, tôi có thể làm được điều đó khi đến lúc
Cho đến lúc đó tôi chỉ thư giãn và quay trở lại nơi cuộc sống của tôi nằm
Tôi đang tập trung vào việc bạn bỏ qua sự lấp lánh trên đường dây nóng
Nhìn này, tôi biết rằng nếu chúng ta làm điều đó trong một cái lỗ
Chúng ta hãy tập trung vào tối nay và đến đó vào buổi sáng
Tôi biết rằng nếu làm vậy chúng ta sẽ cảm thấy chẳng có gì quan trọng cả
Vì vậy, hãy bỏ nó vào túi và quay tròn theo quỹ đạo

Tôi không thích nói nhiều
Nhìn xem đó chỉ là điểm mấu chốt
Cô gái à, nếu em có điều đó thì hãy quay lại và tận hưởng buổi tối nhé
Nếu thành thật mà nói thì tôi thường không phải loại người này
Nhưng tôi cảm thấy bạn không cần sự cam kết dù chỉ một chút thời gian
Tôi sẽ không nói dối thời gian của tôi rất quan trọng
Điều đó không có nghĩa là tôi sẽ không ở lại lâu hơn một chút
Hãy đến, đi thôi, chúng ta sẽ đi
Hãy nhảy múa và biến mất
Tôi không thích nói nhiều
Nếu tôi thành thật mà nói thì tôi
Ẩn ở phía sau nhưng đêm nay
Tôi không phiền nếu chúng ta trò chuyện
Và khiêu vũ tối nay cho đến khi quán bar đóng cửa
Đúng, cầu chì của tôi đã yếu đi nhưng giờ tôi đang chọn cách sống
Tôi chỉ đang đi trong khi tôi không biết gì cả, tôi từ chối biết giới hạn của mình
Đúng, cầu chì của tôi đã yếu đi nhưng giờ tôi đang chọn cách sống
Tôi chỉ đang du hành trong khi tôi không biết gì cả Tôi từ chối biết giới hạn của mình vâng
Tôi sẽ không nói dối thời gian của tôi rất quan trọng
Điều đó không có nghĩa là tôi sẽ không ở lại lâu hơn một chút
Hãy đến, đi thôi, chúng ta sẽ đi
Hãy nhảy múa và biến mất

Tôi không thích nói nhiều
Nếu tôi thành thật mà nói thì tôi
Ẩn ở phía sau nhưng đêm nay
Tôi không phiền nếu chúng ta trò chuyện
Và khiêu vũ tối nay cho đến khi quán bar đóng cửa"
BurYzEr9CpA,Anh Không Đòi Quà - OnlyC ft Karik | Official Music Video,Anh Không Đòi Quà,AVATAR Entertainment,"3 Contributors
Anh Không Đòi Quà Lyrics
ONLY C, Boy bánh bèo!
Karik, Boy nhà nghèo!
Dô!
Anh này, đẹp trai này, đại gia này
Nhà giàu tiền tiêu thả ga
Xây riêng hồ bơi để nuôi cá
Anh thì nghèo khó, tiền chẳng có
Nhà nghèo vì mẹ đâu có cho
Xây riêng công viên để nuôi chó
Anh kia khi yêu em thì, mua cho những món đắt tiền
Luôn luôn tặng em rồi sai khiến (khiến em luôn đau đầu)
Anh đây khi yêu em là,trao cho em con tim chung tình
Em ơi, hãy lắng nghe anh này!
Yêu anh đi em, anh không đòi quà (La-la-la-la-la-la)
Chia tay, anh không đòi lại quà  (La-la-la-la-la-la)
Anh yêu, anh không đòi quà  (La-la-la-la-la-la)
Yêu em, anh không đòi lại quà!
Thằng kia ra đường là đại gia
Về nhà sung sướng làm đại ca
Quen em tiền bạc xài thả ga
Nhưng chia tay lại tới nhà đòi lại quà

Anh không như thế không nhiều tiền!
Đồ anh xài mua ở chợ Kim Biên!
Nhưng cam kết nhà có xe đạp riêng!
Lỡ chia tay anh sẽ không làm phiền
Anh biết anh không được đẹp nhưng anh không vô duyên!
Tài chém gió anh có nhưng mà anh không thuộc dạng bị điên!
Trừ quà cáp được tính bằng hiện kim
Còn lại anh hứa gì là anh sẽ tặng liền!
Boy nhà nghèo là boy nhà nghèo!
Không ai thích vì chê quà bèo!
Boy nhà nghèo là boy nhà nghèo!
Vì boy nghèo nên không ai theo
Yêu anh đi em, anh không đòi quà (La la la la la la)
Chia tay, anh không đòi lại quà  (La la la la la la)
Anh yêu, anh không đòi quà  (La la la la la la)
Yêu em, anh không đòi lại quà!
Khi yêu nhau anh quan trọng lời nói
Đã nói lúc trước khi yêu ai
Sẽ không 2 lời, dối trá (oh baby, baby)

Bao năm trôi qua
Và tình yêu anh trao cho em không phôi pha
Em hãy lắng nghe anh mà :v :v :D
Yêu anh đi em, anh không đòi quà (La-la-la-la-la-la)
Chia tay, anh không đòi lại quà  (La-la-la-la-la-la)
Anh yêu, anh không đòi quà  (La-la-la-la-la-la)
Yêu em, anh không đòi lại quà!
Yêu anh đi em, anh không đòi quà (La-la-la-la-la-la)
Chia tay, anh không đòi lại quà  (La-la-la-la-la-la)
Anh yêu, anh không đòi quà  (La-la-la-la-la-la)
Yêu em, anh không đòi lại quà!
Yêu anh đi em, anh không đòi quà
(Anh không, không đòi lại đâu!!)
Chia tay anh không đòi lại quà
(Anh tặng quà, anh không đòi lại đâu!! )
Anh yêu, anh không đòi quà
(Anh hứa là anh không đòi lại đâu!)
Yêu em, anh không đòi lại quà!
(Khi anh giàu anh sẽ đòi lại sau!)
Cho hẳn 2 triệu tiền hoa quả!"
ycMYhQsifTI,Lưu Luyến Sau Chia Tay - Try92 ft. Kai06 | Official Lyrics Video,Lưu Luyến Sau Chia Tay,DACI Entertainment,
ED_arGt3TQY,Bài Ca Chung Dzui - Da LAB x Lay's (Official Music Video),Bài Ca Chung Dzui,Da LAB Official,"1 Contributor
Bài Ca Chung Dzui Lyrics
Vui lên em mei, yeah
Anh ơi hè về, em ơi hè về
Đã bao lâu rồi anh em chưa thử chậm lại cho bớt nặng nề
Anh cởi bộ comple, em tháo khăn quàng cổ
Ta tạm rời bàn làm việc cùng nhau hướng ra bên ngoài cửa sổ
Anh em lên xe mình đi thôi, đời mình khi trễ, lúc vội
Hôm nay muộn phiền, hãy nghỉ ngơi, cùng cười vui thấy thảnh thơi
Tuổi trẻ có được bao nhiêu nào?
Chớp mắt hết thanh xuân rồi
Lần cuối mình ngồi với nhau từ khi nào mà vẫn phải chờ đợi?
Đời loài người này rất vội
Em ơi cứ sống sao cho mình thấy vui
Khó khăn ta vẫn chẳng dừng bước
Mình kề vai đi qua con đường dài, oh-oh
Tuổi trẻ này mình cùng mang khúc hoan ca đi khắp thế gian
Hát lên như chưa từng được hát
Dù ngày sóng gió hay lúc đông sang, yah
Đời loài người này ngắn lắm
Cứ quên đi hết những lắng lo
Đến bên nhau mang nụ cười tươi
Và cùng gieo niềm vui khắp thế gian, oh-oh

Này em ơi, sẻ chia niềm vui lúc bên nhau
Hoà vang lời ca để ta thảnh thơi gác lo âu
Niềm vui được nhân đôi, hạnh phúc đã đâm chồi
Bao nhiêu nắng mưa sóng gió cũng đến hôm nay bội thu một rổ nụ cười
À anh ơi, ngồi lại chuyện trò vài ba câu
Để thêm hiểu nhau cùng ươm mầm vui đến mai sau
Trước mắt tuổi trẻ đang phơi phới toàn một màu xanh tươi
Hôm nay ta chung vui, niềm vui chung là món quà
Đời loài người này rất vội
Em ơi cứ sống sao cho mình thấy vui
Khó khăn ta vẫn chẳng dừng bước
Mình kề vai đi qua con đường dài, oh-oh
Tuổi trẻ này mình cùng mang khúc hoan ca đi khắp thế gian
Hát lên như chưa từng được hát
Dù ngày sóng gió hay lúc đông sang, yah
Đời loài người này ngắn lắm
Cứ quên đi hết những lắng lo
Đến bên nhau mang nụ cười tươi
Và cùng gieo niềm vui khắp thế gian, oh-oh
Em ơi lo chi ngày dài? (Em ơi em ơi)
Chỉ cần chúng ta cùng vui với nhau (Cùng vui với Lay's)
Hát ca cho nụ cười bội thu (Hát to lên)
Hát lên ta vui cùng với nhau (To nữa lên)
Em ơi ta thu hoạch nào (Em ơi em ơi)
Thật nhiều ước ao cũng thêm khát khao (Thật vui biết bao)
Vác khoai anh em mình đi tiếp
Trước mắt ta con đường vẫn đương, còn dài

All
]
Tuổi trẻ này mình cùng mang khúc hoan ca đi khắp thế gian
Hát lên như chưa từng được hát
Dù ngày sóng gió hay lúc đông sang, yah
Đời loài người này ngắn lắm
Cứ quên đi hết những lắng lo
Đến bên nhau mang nụ cười tươi
Và cùng gieo niềm vui khắp thế gian
Tuổi trẻ này mình cùng mang khúc hoan ca đi khắp thế gian
Hát lên như chưa từng được hát
Dù ngày sóng gió hay lúc đông sang, yah
Đời loài người này ngắn lắm
Cứ quên đi hết những lắng lo
Đến bên nhau mang nụ cười tươi
Và cùng gieo niềm vui khắp thế gian, oh-oh"
SCUo9vYSu6g,VSTRA - Internet Love (ft. Tyronee) | Official M/V,Internet Love,VSTRA,"2 Contributors
Translations
Svenska
Internet Love Lyrics
Chưa bao giờ em nghĩ rằng anh, là gu của em đâu
Chưa bao giờ em nghĩ rằng em, will fall in love with you
Mà giọng nói ngọt ngào cất ra từ headphone
Say đắm cồn cào, lỡ yêu rồi mất khôn
Chưa bao giờ em nghĩ là ta, hợp nhau đến như vậy
Cách xa ngàn cây số mà ta, vẫn luôn biết nhau làm gì
Chẳng cần nói một lời, nhưng thói quen mình vẫn chung
Chẳng cần nói một lời, nhưng thấu hiểu lòng nhớ nhung
Vì bông hoa tàn phai ngày ấy anh đã tưới lên tình yêu
Rực hồng ôi cùng nhau mình cháy cháy lên từng vết son
Giờ làm sao, để anh, hiểu lòng em nhiều hơn
Bằng ca khúc mà hai mình ta cùng nghe được không
Tình là thế oh, baby em và anh là super star đêm nay
Bởi vì thế I go insane every time anh bên mình
Em chẳng muốn anh cần ai, hay ai cần anh
I will keep you safe inside my angel wings
Là một phút òa lên rằng sao trời không mang anh về
Vì đã có nhiều đêm,nhiều hương men nặng nề
Em chẳng muốn anh cần ai, hay ai cần anh
You’ll be safe inside my angel wings
Em mong rằng anh đã
Thấy những gì cần thấy để ý câu từ em viết
Để ý từng lời em hát cho anh

Chưa bao giờ em nghĩ là anh ngọt ngào đáng yêu như vậy
The fact you think that I look beautiful this way
Vì đâu mấy ai hiểu, cách trân trọng chính em
Và đâu mấy ai hiểu, cách trân trọng chính anh
Vì bông hoa tàn phai ngày ấy anh đã tưới lên tình yêu
Rực hồng ôi cùng nhau mình cháy cháy lên từng vết son
Giờ làm sao, để anh, hiểu lòng em nhiều hơn
Bằng ca khúc mà hai mình ta cùng nghe được không
Tình là thế oh, baby em và anh là super star đêm nay
Bởi vì thế I go insane every time anh bên mình
Em chẳng muốn anh cần ai, hay ai cần anh
I will keep you safe inside my angel wings
Là một phút òa lên rằng sao trời không mang anh về
Vì đã có nhiều đêm,nhiều hương men nặng nề
Em chẳng muốn anh cần ai, hay ai cần anh
You’ll be safe inside my angel wings"
BhbETPFyuaY,CÓ NGƯỜI (SOMEONE) - VŨ CÁT TƯỜNG | OFFICIAL MV,CÓ NGƯỜI,Vũ Cát Tường (VCT),"1 Contributor
Có Người (Someone) Lyrics
Chiều nay có người
Hẹn anh với nụ cười tươi
Chiều nay có người
Dạy anh cách làm mặt vui
Dường như anh cũng đã quen rồi
Ngày và đêm chỉ công việc thôi
Người chợt đến như ánh mặt trời
Xoa dịu đi vết thương
Có người nói anh xấu thế nào
Khi nhìn anh ăn lúc chưa no
Có người nói anh khó thế nào
Khi nhìn gương mặt anh đắn đo
Có người nói anh ấm thế nào
Khi ùa đến cuộn trong cánh tay anh
Có người cho anh biết thế nào
Là dành một đời để yêu một người
Giờ một mình một trời nơi xa
Buồn vì để lại đôi ta
Vẫn cẩn thận để dành tất cả
Niềm vui niềm thương dù anh phải đi xa (Ô-oh)

Từng hạt mưa như xé mây trời
Ngồi lặng im nén lòng tả tơi
Chiều nay không còn những mong đợi
Anh chỉ thấy rối bời
Có người quen lại với một mình
Cô độc giữa thành phố lung linh
Có người xem lại những khung hình
Ngỡ mình trong hạnh phúc trắng tinh
Có người đã quên anh xấu thế nào
Khi bình yên ngủ lúc bên nhau
Có người đã quên hết kỉ niệm
Để lại một người với tiếng mưa đêm
Không một ai thêm nữa
Sẽ không thể yêu thêm nữa
Khi tất cả tan vào vầng trăng sáng
Hạnh phúc giờ biến thành những ngổn ngang
Có người nói anh xấu thế nào
Khi nhìn anh ăn lúc chưa no
Có người nói anh khó thế nào
Khi nhìn gương mặt anh đắn đo

Có người nói anh ấm thế nào
Khi ùa đến cuộn trong cánh tay anh
Có người đã quên hết kỉ niệm
Để lại một người với tiếng mưa đêm"
xPKU5WkLOqA,"CON HỨA SẼ VỀ - LÊ BẢO BÌNH | OFFICIAL MUSIC VIDEO | NHẠC XUÂN 2023 - MẸ, XUÂN NÀY CON VẪN THA HƯƠNG","CON HỨA SẼ VỀ - LÊ BẢO BÌNH | OFFICIAL MUSIC VIDEO | NHẠC XUÂN 2023 - MẸ, XUÂN NÀY CON VẪN THA HƯƠNG",Lê Bảo Bình,
AdfSLq7XNoI,MIN - TÌM (LOST) (ft. MR.A) M/V,TÌM,ST.319 Entertainment,"221 người đóng góp
Bản dịch
tiếng Tây Ban Nha
tiếng Đức
người Bồ Đào Nha
Türkçe
عربية
Lời Bài Hát Gương
Một bản tình ca gửi đến người vợ mới của JT ít tự ái hơn so với cái nhìn đầu tiên, bài hát này là lời tri ân đến ngọn lửa song sinh - cùng một tâm hồn bị chia làm hai, trong hai cơ thể khác nhau.

Justin cống hiến âm nhạc… 
Đọc thêm
 
Bạn không phải là thứ gì đó đáng để ngưỡng mộ sao?
Vì sự tỏa sáng của bạn giống như một tấm gương
Và tôi không thể không chú ý
Bạn phản ánh trong trái tim này của tôi
Nếu bạn từng cảm thấy cô đơn và
Ánh sáng chói khiến tôi khó tìm thấy
Chỉ cần biết rằng tôi luôn
Song song ở phía bên kia
Vì với bàn tay em trong tay anh và một túi đầy tâm hồn
Tôi có thể nói với bạn rằng không có nơi nào chúng ta không thể đi
Chỉ cần đặt tay lên kính
Tôi sẽ cố gắng kéo bạn vượt qua
Bạn chỉ cần mạnh mẽ lên
Vì bây giờ anh không muốn mất em
Tôi đang nhìn thẳng vào nửa còn lại của mình
Chỗ trống ngự trị trong trái tim tôi
Là khoảng không gian mà bây giờ bạn đang nắm giữ
Hãy chỉ cho tôi cách chiến đấu bây giờ
Và anh sẽ nói với em, em yêu, điều đó thật dễ dàng
Trở lại đây với bạn khi tôi đã tìm ra nó
Bạn đã ở đây suốt thời gian qua

Giống như em là tấm gương của anh
 (Ồ)
Gương của tôi đang nhìn chằm chằm vào tôi (Ồ)
Tôi không thể lớn hơn được nữa (Ồ)
Với ai khác bên cạnh tôi (Oh)
Và bây giờ mọi chuyện đã rõ ràng như lời hứa này
Cái mà chúng tôi đang làm
Hai phản xạ thành một
Vì nó giống như em là tấm gương của anh
 (Ồ)
Chiếc gương của tôi đang nhìn chằm chằm vào tôi, nhìn chằm chằm vào tôi
Bạn không phải là thứ gì đó, một bản gốc sao?
Bởi vì nó dường như không chỉ được lắp ráp đơn thuần
Và tôi không thể không nhìn chằm chằm, vì
Tôi nhìn thấy sự thật đâu đó trong mắt bạn
Ôi, anh không thể thay đổi nếu không có em
Bạn phản ánh tôi, tôi yêu điều đó ở bạn
Và nếu có thể, tôi
Sẽ luôn nhìn chúng ta
Vì với bàn tay em trong tay anh và một túi đầy tâm hồn
Tôi có thể nói với bạn rằng không có nơi nào chúng ta không thể đi
Chỉ cần đặt tay lên kính
Tôi ở đây cố gắng kéo bạn vượt qua
Bạn chỉ cần mạnh mẽ lên

Vì bây giờ anh không muốn mất em
Tôi đang nhìn thẳng vào nửa còn lại của mình
Chỗ trống ngự trị trong trái tim tôi
Là khoảng không gian mà bây giờ bạn đang nắm giữ
Hãy chỉ cho tôi cách chiến đấu bây giờ
Và anh sẽ nói với em, em yêu, điều đó thật dễ dàng
Trở lại đây với bạn khi tôi đã tìm ra nó
Bạn đã ở đây suốt thời gian qua
Giống như em là tấm gương của anh
 (Ồ)
Gương của tôi đang nhìn chằm chằm vào tôi (Ồ)
Tôi không thể lớn hơn được nữa (Ồ)
Với ai khác bên cạnh tôi (Oh)
Và bây giờ mọi chuyện đã rõ ràng như lời hứa này
Cái mà chúng tôi đang làm
Hai phản xạ thành một
Vì nó giống như em là tấm gương của anh
 (Ồ)
Chiếc gương của tôi đang nhìn chằm chằm vào tôi, nhìn chằm chằm vào tôi
Hôm qua là lịch sử, ôi
Ngày mai là một điều bí ẩn, ôi
Tôi có thể thấy bạn đang nhìn lại tôi
Hãy để mắt tới tôi
Em yêu, hãy để mắt tới anh nhé

Vì bây giờ anh không muốn mất em
Tôi đang nhìn thẳng vào nửa còn lại của mình
Chỗ trống ngự trị trong trái tim tôi
Là khoảng không gian mà bây giờ bạn đang nắm giữ
Hãy chỉ cho tôi cách chiến đấu bây giờ
 (Em cho anh xem đi, em yêu)
Và anh sẽ nói với em, em yêu, điều đó thật dễ dàng
Trở lại đây với bạn khi tôi đã tìm ra nó
Bạn đã ở đây suốt thời gian qua
Giống như em là tấm gương của anh
 (Ồ)
Gương của tôi đang nhìn chằm chằm vào tôi (Ồ)
Tôi không thể lớn hơn được nữa (Ồ)
Với ai khác bên cạnh tôi (Oh)
Và bây giờ mọi chuyện đã rõ ràng như lời hứa này
Cái mà chúng tôi đang làm
Hai phản xạ thành một
Vì nó giống như em là tấm gương của anh
 (Ồ)
Chiếc gương của tôi đang nhìn chằm chằm vào tôi, nhìn chằm chằm vào tôi
Ồ (Ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Ồ ồ ồ (Ồ ồ ồ ồ)
Ờ (Ồ ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Ồ ồ ồ (Ồ ồ ồ ồ)
Ờ (Ồ ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Ồ (Ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Ồ ồ ồ (Ồ ồ ồ ồ)
Ờ (Ồ ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Giờ đây em là nguồn cảm hứng cho bài hát quý giá này
Và anh chỉ muốn thấy khuôn mặt em sáng lên kể từ khi em mặc áo cho anh
Thế nên bây giờ tôi nói lời tạm biệt với tôi cũ, nó đã ra đi rồi
Và anh không thể chờ đợi, chờ đợi, chờ đợi, chờ đợi để đưa em về nhà
Chỉ để cho bạn biết, bạn là
Ồ (Ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Ồ ồ ồ (Ồ ồ ồ ồ)
Ờ (Ồ ồ ồ ồ ồ)
Ồ (Ồ ồ ồ ồ)
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Cô gái à, em là hình ảnh phản chiếu của anh, tất cả những gì anh thấy là em
Sự phản ánh của tôi trong mọi việc tôi làm
Bạn là sự phản ánh của tôi và tất cả những gì tôi thấye là bạn
Sự phản ánh của tôi trong mọi việc tôi làm
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh
Em là tình yêu của đời anh"
2DuthnSIeYY,BÍCH PHƯƠNG - Nói Thương Nhau Thì Đừng Làm Trái Tim Em Đau [Official M/V],Nói Thương Nhau Thì Đừng Làm Trái Tim Em Đau,BÍCH PHƯƠNG,
